Year,SERIES,Radna snaga i status zaposlenosti,Spol,Godine,UNIT_MEASURE,Value
2025,sdg_04_10,Osobe koje bi željele raditi (traže li zaposlenje ili ne),Oba spola,Od 18 do 24 godine,PT,0.4
2021,sdg_04_10,Osobe koje bi željele raditi (traže li zaposlenje ili ne),Muškarci,Od 18 do 24 godine,PT,1.4
2022,sdg_04_10,Osobe koje bi željele raditi (traže li zaposlenje ili ne),Muškarci,Od 18 do 24 godine,PT,0.7
2023,sdg_04_10,Osobe koje bi željele raditi (traže li zaposlenje ili ne),Muškarci,Od 18 do 24 godine,PT,1.3
2024,sdg_04_10,Osobe koje bi željele raditi (traže li zaposlenje ili ne),Muškarci,Od 18 do 24 godine,PT,1.4
2025,sdg_04_10,Osobe koje bi željele raditi (traže li zaposlenje ili ne),Muškarci,Od 18 do 24 godine,PT,
2021,sdg_04_10,Osobe koje bi željele raditi (traže li zaposlenje ili ne),Žene,Od 18 do 24 godine,PT,1.3
2022,sdg_04_10,Osobe koje bi željele raditi (traže li zaposlenje ili ne),Žene,Od 18 do 24 godine,PT,1.4
2023,sdg_04_10,Osobe koje bi željele raditi (traže li zaposlenje ili ne),Žene,Od 18 do 24 godine,PT,0.7
2024,sdg_04_10,Osobe koje bi željele raditi (traže li zaposlenje ili ne),Žene,Od 18 do 24 godine,PT,
2025,sdg_04_10,Osobe koje bi željele raditi (traže li zaposlenje ili ne),Žene,Od 18 do 24 godine,PT,
2021,sdg_04_10,Osobe ne žele raditi,Oba spola,Od 18 do 24 godine,PT,2.0
2022,sdg_04_10,Osobe ne žele raditi,Oba spola,Od 18 do 24 godine,PT,1.9
2023,sdg_04_10,Osobe ne žele raditi,Oba spola,Od 18 do 24 godine,PT,2.3
2024,sdg_04_10,Osobe ne žele raditi,Oba spola,Od 18 do 24 godine,PT,2.2
2025,sdg_04_10,Osobe ne žele raditi,Oba spola,Od 18 do 24 godine,PT,2.0
2021,sdg_04_10,Osobe ne žele raditi,Muškarci,Od 18 do 24 godine,PT,1.4
2022,sdg_04_10,Osobe ne žele raditi,Muškarci,Od 18 do 24 godine,PT,1.8
2023,sdg_04_10,Osobe ne žele raditi,Muškarci,Od 18 do 24 godine,PT,2.4
2024,sdg_04_10,Osobe ne žele raditi,Muškarci,Od 18 do 24 godine,PT,2.3
2025,sdg_04_10,Osobe ne žele raditi,Muškarci,Od 18 do 24 godine,PT,2.0
2021,sdg_04_10,Osobe ne žele raditi,Žene,Od 18 do 24 godine,PT,2.7
2022,sdg_04_10,Osobe ne žele raditi,Žene,Od 18 do 24 godine,PT,2.0
2023,sdg_04_10,Osobe ne žele raditi,Žene,Od 18 do 24 godine,PT,2.2
2024,sdg_04_10,Osobe ne žele raditi,Žene,Od 18 do 24 godine,PT,2.0
2025,sdg_04_10,Osobe ne žele raditi,Žene,Od 18 do 24 godine,PT,2.0
